Range,Freq Dev,FM Freq,Measured,Expected,Error
10,85.0,1,0.038086,0.038034,0.136167
10,85.0,1,0.038087,0.038034,0.137022
10,85.0,1,0.038086,0.038034,0.136616
10,90.0,1,0.040325,0.040272,0.132646
10,90.0,1,0.040326,0.040272,0.134708
10,90.0,1,0.040327,0.040272,0.136546
10,90.0,1,0.040325,0.040272,0.132475
10,90.0,1,0.040326,0.040272,0.13384
10,95.0,1,0.042568,0.042509,0.138287
10,95.0,1,0.042566,0.042509,0.134143
10,95.0,1,0.042567,0.042509,0.136261
10,95.0,1,0.042567,0.042509,0.136896
10,95.0,1,0.042567,0.042509,0.135598
10,100.0,1,0.044807,0.044746,0.13611
10,100.0,1,0.044807,0.044746,0.135753
10,100.0,1,0.044807,0.044746,0.136472
10,100.0,1,0.044808,0.044746,0.137464
10,100.0,1,0.044808,0.044746,0.137225
10,105.0,1,0.047045,0.046984,0.131152
10,105.0,1,0.047046,0.046984,0.13194
10,105.0,1,0.047046,0.046984,0.131885
10,105.0,1,0.047046,0.046984,0.132147
10,105.0,1,0.047046,0.046984,0.13183
10,110.0,1,0.049286,0.049221,0.131697
10,110.0,1,0.049287,0.049221,0.133022
10,110.0,1,0.049285,0.049221,0.129675
10,110.0,1,0.049285,0.049221,0.129816
10,110.0,1,0.049285,0.049221,0.129588
10,115.0,1,0.051525,0.051458,0.130041
10,115.0,1,0.051526,0.051458,0.13124
10,115.0,1,0.051527,0.051458,0.132822
10,115.0,1,0.051525,0.051458,0.129404
10,115.0,1,0.051525,0.051458,0.128935
10,120.0,1,0.053765,0.053696,0.128585
10,120.0,1,0.053764,0.053696,0.127959
10,120.0,1,0.053766,0.053696,0.130361
10,120.0,1,0.053764,0.053696,0.126724
10,120.0,1,0.053763,0.053696,0.125295
10,125.0,1,0.056006,0.055933,0.129591
10,125.0,1,0.056004,0.055933,0.127017
10,125.0,1,0.056005,0.055933,0.128494
10,125.0,1,0.056005,0.055933,0.129382
10,125.0,1,0.056006,0.055933,0.130692
10,130.0,1,0.058244,0.05817,0.126258
10,130.0,1,0.058242,0.05817,0.123136
10,130.0,1,0.058244,0.05817,0.125957
10,130.0,1,0.058243,0.05817,0.125445
10,130.0,1,0.058243,0.05817,0.124729
10,135.0,1,0.060482,0.060408,0.122817
10,135.0,1,0.060482,0.060408,0.122256
10,135.0,1,0.060483,0.060408,0.124054
10,135.0,1,0.060484,0.060408,0.125859
10,135.0,1,0.060481,0.060408,0.122008
10,140.0,1,0.062722,0.062645,0.123402
10,140.0,1,0.062722,0.062645,0.122784
10,140.0,1,0.062721,0.062645,0.121688
10,140.0,1,0.06272,0.062645,0.11927
10,140.0,1,0.062721,0.062645,0.121391
10,145.0,1,0.06496,0.064882,0.120152
