Range,Shift,Measured,Expected,Error
200,3.0,1.902215116,1.8984299999999998,0.19938138356432417
200,3.0,1.902132994,1.8984299999999998,0.19505559857356772
200,3.0,1.9021901320000003,1.8984299999999998,0.19806534873555892
200,3.0,1.9020847020000002,1.8984299999999998,0.19251181239236625
200,3.0,1.9021441780000001,1.8984299999999998,0.19564471695033742
200,3.0,1.9020604220000001,1.8984299999999998,0.1912328608376553
200,3.0,1.9020492940000002,1.8984299999999998,0.19064669226678804
200,3.0,1.9020368460000001,1.8984299999999998,0.18999099255702212
200,3.0,1.902057002,1.8984299999999998,0.19105271197780338
200,3.0,1.9020377280000003,1.8984299999999998,0.19003745199983255
200,2.5,1.5849204780000001,1.5820249999999998,0.18302352996952262
200,2.5,1.584909596,1.5820249999999998,0.18233567737552367
200,2.5,1.584905164,1.5820249999999998,0.18205553009593659
200,2.5,1.58485389,1.5820249999999998,0.17881449408196426
200,2.5,1.5848752019999999,1.5820249999999998,0.18016162829285756
200,2.5,1.5848517199999999,1.5820249999999998,0.17867732810796674
200,2.5,1.5848553600000002,1.5820249999999998,0.1789074129675805
200,2.5,1.5848586900000001,1.5820249999999998,0.17911790268803168
200,2.5,1.584844936,1.5820249999999998,0.17824851061141897
200,2.5,1.5848163180000001,1.5820249999999998,0.1764395632180478
200,2.0,1.2677674259999998,1.26562,0.1696738357484744
200,2.0,1.267714528,1.26562,0.16549422417471155
200,2.0,1.267725504,1.26562,0.16636146710702898
200,2.0,1.2677276480000002,1.26562,0.16653087024542787
200,2.0,1.267713358,1.26562,0.16540177936505346
200,2.0,1.26771734,1.26562,0.16571640776852037
200,2.0,1.2677398560000002,1.26562,0.16749545677219052
200,2.0,1.267740278,1.26562,0.16752880011378066
200,2.0,1.267706092,1.26562,0.1648276733932851
200,2.0,1.267691492,1.26562,0.1636740885889926
200,1.5,0.950705718,0.9492149999999999,0.15704745500230327
200,1.5,0.950648972,0.9492149999999999,0.15106925196083726
200,1.5,0.9506824160000001,0.9492149999999999,0.15459258439871065
200,1.5,0.95067761,0.9492149999999999,0.15408627128733016
200,1.5,0.95065898,0.9492149999999999,0.15212359686689766
200,1.5,0.9506544,0.9492149999999999,0.15164109290309263
200,1.5,0.950664206,0.9492149999999999,0.15267415706663842
200,1.5,0.9506830740000001,0.9492149999999999,0.154661904837171
200,1.5,0.950695472,0.9492149999999999,0.15596803674616622
200,1.5,0.950691614,0.9492149999999999,0.15556159563429764
200,1.0,0.633646704,0.63281,0.1322204137102798
200,1.0,0.6336164400000001,0.63281,0.12743793555728813
200,1.0,0.633610758,0.63281,0.12654003571372333
200,1.0,0.633629456,0.63281,0.12949479306584855
200,1.0,0.6336168480000001,0.63281,0.12750240988607672
200,1.0,0.633598206,0.63281,0.12455650195162356
200,1.0,0.6336312340000001,0.63281,0.12977576207710292
200,1.0,0.6336230300000001,0.63281,0.1284793223874628
200,1.0,0.6336029080000001,0.63281,0.12529953698583968
200,1.0,0.633613828,0.63281,0.12702517343278494
200,0.5,0.31653472800000004,0.316405,0.04100061629874722
200,0.5,0.316543814,0.316405,0.04387225233481997
200,0.5,0.316536472,0.316405,0.04155180859974443
200,0.5,0.31650174400000003,0.316405,0.03057600227557639
200,0.5,0.316527088,0.316405,0.03858598947552036
200,0.5,0.316524648,0.316405,0.03781482593512357
200,0.5,0.316539628,0.316405,0.04254926439216369
200,0.5,0.31653565000000006,0.316405,0.04129201498082061
200,0.5,0.31653022199999997,0.316405,0.039576492154036885
200,0.5,0.316540878,0.316405,0.04294432768130519
