Range,Freq Dev,FM Freq,Measured,Expected,Error
200,50,10,0.0223954468,0.022373212110132948,0.0993808567030999
200,50,10,0.0223947612,0.022373212110132948,0.09631647776356074
200,50,10,0.0223955362,0.022373212110132948,0.09978044170484242
200,50,10,0.0223965176,0.022373212110132948,0.1041669374622152
200,50,10,0.0223958558,0.022373212110132948,0.10120893573791401
200,50,10,0.0223967,0.022373212110132948,0.10498219813690902
200,50,10,0.0223961974,0.022373212110132948,0.10273576165061914
200,50,10,0.022396294,0.022373212110132948,0.10316752799477927
200,50,10,0.0223966828,0.022373212110132948,0.10490532048557971
200,50,10,0.0223964432,0.022373212110132948,0.10383439692386344
200,50,60,0.0223876678,0.022373212110132948,0.06461159799448438
200,50,60,0.0223870798,0.022373212110132948,0.06198345503001047
200,50,60,0.022386046,0.022373212110132948,0.057362750613888486
200,50,60,0.0223861376,0.022373212110132948,0.05777216880360056
200,50,60,0.022385879200000004,0.022373212110132948,0.0566172161811254
200,50,60,0.022387471200000002,0.022373212110132948,0.06373286856113011
200,50,60,0.022387208000000002,0.022373212110132948,0.06255646171036619
200,50,60,0.0223877978,0.022373212110132948,0.06519265001044451
200,50,60,0.022387013400000003,0.022373212110132948,0.06168667153879114
200,50,60,0.0223868778,0.022373212110132948,0.06108058958982747
200,50,110,0.0223377882,0.022373212110132948,-0.1583318030445177
200,50,110,0.0223378162,0.022373212110132948,-0.15820665337954642
200,50,110,0.0223370216,0.022373212110132948,-0.16175822208630178
200,50,110,0.022337252,0.022373212110132948,-0.16072841912879787
200,50,110,0.0223379338,0.022373212110132948,-0.15768102478664234
200,50,110,0.0223372782,0.022373212110132948,-0.1606113147994155
200,50,110,0.0223365568,0.022373212110132948,-0.16383570652488355
200,50,110,0.022337788,0.022373212110132948,-0.15833269697069252
200,50,110,0.0223367132,0.022373212110132948,-0.16313665625338175
200,50,110,0.0223377356,0.022373212110132948,-0.1585669056294417
200,50,160,0.022483051400000002,0.022373212110132948,0.4909410831416005
200,50,160,0.0224851706,0.022373212110132948,0.500413124927848
200,50,160,0.022483642,0.022373212110132948,0.4935808471463936
200,50,160,0.0224826912,0.022373212110132948,0.48933112209429586
200,50,160,0.022483513,0.022373212110132948,0.49300426476132314
200,50,160,0.0224835644,0.022373212110132948,0.4932340037891672
200,50,160,0.0224817176,0.022373212110132948,0.4849794894578806
200,50,160,0.022482561400000003,0.022373212110132948,0.4887509640045415
200,50,160,0.022482544400000002,0.022373212110132948,0.4886749802793715
200,50,160,0.0224824264,0.022373212110132948,0.48814756383411784
200,50,210,0.0224508356,0.022373212110132948,0.3469483482521312
200,50,210,0.0224499012,0.022373212110132948,0.3427719251466789
200,50,210,0.022449790600000002,0.022373212110132948,0.34227758397003316
200,50,210,0.0224506078,0.022373212110132948,0.34593016633494655
200,50,210,0.022452135,0.022373212110132948,0.3527561866331615
200,50,210,0.022451435199999998,0.022373212110132948,0.3496283389349464
200,50,210,0.0224503654,0.022373212110132948,0.3448467278067207
200,50,210,0.022451061,0.022373212110132948,0.3479558030551871
200,50,210,0.022452544,0.022373212110132948,0.35458426566797563
200,50,210,0.0224500072,0.022373212110132948,0.3432457060212263
200,50,260,0.0224567342,0.022373212110132948,0.37331291303150094
200,50,260,0.0224581554,0.022373212110132948,0.37966515245515303
200,50,260,0.022457262000000002,0.022373212110132948,0.3756719842162835
200,50,260,0.0224561774,0.022373212110132948,0.3708242225508419
200,50,260,0.0224590824,0.022373212110132948,0.38380850029201286
200,50,260,0.022458495800000002,0.022373212110132948,0.38118661481079374
200,50,260,0.0224562004,0.022373212110132948,0.37092702406136513
200,50,260,0.022458686999999998,0.022373212110132948,0.3820412082373193
200,50,260,0.0224560368,0.022373212110132948,0.37019579244743017
200,50,260,0.0224581622,0.022373212110132948,0.37969554594522104
